region_code,full_name,name_depth,code_depth,children_count,has_children
530135,서울>중구>필동3가,3,3,0,0
530136,서울>중구>남학동,3,3,0,0
530137,서울>중구>주자동,3,3,0,0
530138,서울>중구>예장동,3,3,0,0
530139,서울>중구>장충동1가,3,3,0,0
530140,서울>중구>장충동2가,3,3,0,0
530141,서울>중구>광희동1가,3,3,0,0
530142,서울>중구>광희동2가,3,3,0,0
530143,서울>중구>쌍림동,3,3,0,0
530144,서울>중구>을지로6가,3,3,0,0
530145,서울>중구>을지로7가,3,3,0,0
530146,서울>중구>을지로4가,3,3,0,0
530147,서울>중구>을지로5가,3,3,0,0
530148,서울>중구>주교동,3,3,0,0
530149,서울>중구>방산동,3,3,0,0
530150,서울>중구>오장동,3,3,0,0
530151,서울>중구>을지로3가,3,3,0,0
530152,서울>중구>입정동,3,3,0,0
530153,서울>중구>산림동,3,3,0,0
530154,서울>중구>충무로3가,3,3,0,0
530155,서울>중구>초동,3,3,0,0
530156,서울>중구>인현동1가,3,3,0,0
530157,서울>중구>저동2가,3,3,0,0
530158,서울>중구>신당동,3,3,0,0
530159,서울>중구>흥인동,3,3,0,0
530160,서울>중구>무학동,3,3,0,0
530161,서울>중구>황학동,3,3,0,0
530162,서울>중구>서소문동,3,3,0,0
530163,서울>중구>정동,3,3,0,0
530164,서울>중구>순화동,3,3,0,0
530165,서울>중구>의주로1가,3,3,0,0
530166,서울>중구>충정로1가,3,3,0,0
530167,서울>중구>중림동,3,3,0,0
530168,서울>중구>의주로2가,3,3,0,0
530169,서울>중구>만리동1가,3,3,0,0
530170,서울>중구>만리동2가,3,3,0,0
530172,서울>용산구>후암동,3,3,0,0
530173,서울>용산구>용산동2가,3,3,0,0
530174,서울>용산구>용산동4가,3,3,0,0
530175,서울>용산구>갈월동,3,3,0,0
530176,서울>용산구>남영동,3,3,0,0
530177,서울>용산구>용산동1가,3,3,0,0
530178,서울>용산구>동자동,3,3,0,0
530179,서울>용산구>서계동,3,3,0,0
530180,서울>용산구>청파동1가,3,3,0,0
530181,서울>용산구>청파동2가,3,3,0,0
530182,서울>용산구>청파동3가,3,3,0,0
530183,서울>용산구>원효로1가,3,3,0,0
530184,서울>용산구>원효로2가,3,3,0,0
530185,서울>용산구>신창동,3,3,0,0
530186,서울>용산구>산천동,3,3,0,0
530187,서울>용산구>청암동,3,3,0,0
530188,서울>용산구>원효로3가,3,3,0,0
530189,서울>용산구>원효로4가,3,3,0,0
530190,서울>용산구>효창동,3,3,0,0
530191,서울>용산구>도원동,3,3,0,0
530192,서울>용산구>용문동,3,3,0,0
530193,서울>용산구>문배동,3,3,0,0
530194,서울>용산구>신계동,3,3,0,0
530195,서울>용산구>한강로1가,3,3,0,0
530196,서울>용산구>한강로2가,3,3,0,0
530197,서울>용산구>용산동3가,3,3,0,0
530198,서울>용산구>용산동5가,3,3,0,0
530199,서울>용산구>한강로3가,3,3,0,0
530200,서울>용산구>이촌동,3,3,0,0
530201,서울>용산구>이태원동,3,3,0,0
530202,서울>용산구>한남동,3,3,0,0
530203,서울>용산구>동빙고동,3,3,0,0
530204,서울>용산구>서빙고동,3,3,0,0
530205,서울>용산구>주성동,3,3,0,0
530206,서울>용산구>용산동6가,3,3,0,0
530207,서울>용산구>보광동,3,3,0,0
530209,서울>성동구>상왕십리동,3,3,0,0
530210,서울>성동구>하왕십리동,3,3,0,0
530211,서울>성동구>홍익동,3,3,0,0
530212,서울>성동구>도선동,3,3,0,0
530213,서울>성동구>마장동,3,3,0,0
530214,서울>성동구>사근동,3,3,0,0
530215,서울>성동구>행당동,3,3,0,0
530216,서울>성동구>응봉동,3,3,0,0
530217,서울>성동구>금호동1가,3,3,0,0
530218,서울>성동구>금호동2가,3,3,0,0
530219,서울>성동구>금호동3가,3,3,0,0
530220,서울>성동구>금호동4가,3,3,0,0
530221,서울>성동구>옥수동,3,3,0,0
530222,서울>성동구>성수동1가,3,3,0,0
530223,서울>성동구>성수동2가,3,3,0,0
530224,서울>성동구>송정동,3,3,0,0
530225,서울>성동구>용답동,3,3,0,0
530227,서울>광진구>중곡동,3,3,0,0
530228,서울>광진구>능동,3,3,0,0
530229,서울>광진구>구의동,3,3,0,0
530230,서울>광진구>광장동,3,3,0,0
530231,서울>광진구>자양동,3,3,0,0
