region_code,name,lawd_code
530766,대신동,27110154
530767,달성동,27110155
530768,남산동,27110156
530769,대봉동,27110157
530771,신암동,27140101
530772,신천동,27140102
530773,효목동,27140103
530774,평광동,27140104
530775,봉무동,27140105
530776,불로동,27140106
530777,도동,27140107
530778,지저동,27140108
530779,입석동,27140109
530780,검사동,27140110
530781,방촌동,27140111
530782,둔산동,27140112
530783,부동,27140113
530784,신평동,27140114
530785,서호동,27140115
530786,동호동,27140116
530787,신기동,27140117
530788,율하동,27140118
530789,용계동,27140119
530790,율암동,27140120
530791,상매동,27140121
530792,매여동,27140122
530793,각산동,27140123
530794,신서동,27140124
530795,동내동,27140125
530796,괴전동,27140126
530797,금강동,27140127
530798,대림동,27140128
530799,사복동,27140129
530800,숙천동,27140130
530801,내곡동,27140131
530802,능성동,27140132
530803,진인동,27140133
530804,도학동,27140134
530805,백안동,27140135
530806,미곡동,27140136
530807,용수동,27140137
530808,신무동,27140138
530809,미대동,27140139
530810,내동,27140140
530811,신용동,27140141
530812,중대동,27140142
530813,송정동,27140143
530814,덕곡동,27140144
530815,지묘동,27140145
530817,내당동,27170101
530818,비산동,27170102
530819,평리동,27170103
530820,상리동,27170104
530821,중리동,27170105
530822,이현동,27170106
530823,원대동1가,27170107
530824,원대동2가,27170108
530825,원대동3가,27170109
530827,이천동,27200101
530828,봉덕동,27200102
530829,대명동,27200103
530831,칠성동1가,27230101
530832,칠성동2가,27230102
530833,고성동1가,27230103
530834,고성동2가,27230104
530835,고성동3가,27230105
530836,침산동,27230106
530837,노원동1가,27230107
530838,노원동2가,27230108
530839,노원동3가,27230109
530840,대현동,27230110
530841,산격동,27230111
530842,복현동,27230112
530843,검단동,27230113
530844,동변동,27230114
530845,서변동,27230115
530846,조야동,27230116
530847,노곡동,27230117
530848,읍내동,27230118
530849,동호동,27230119
530850,학정동,27230120
530851,도남동,27230121
530852,국우동,27230122
530853,구암동,27230123
530854,동천동,27230124
530855,관음동,27230125
530856,태전동,27230126
530857,매천동,27230127
530858,팔달동,27230128
530859,금호동,27230129
530860,사수동,27230130
530861,연경동,27230131
530863,범어동,27260101
530864,만촌동,27260102
530865,수성동1가,27260103
530866,수성동2가,27260104
530867,수성동3가,27260105
530868,수성동4가,27260106
530869,황금동,27260107
530870,중동,27260108
530871,상동,27260109
530872,파동,27260110
530873,두산동,27260111
530874,지산동,27260112
530875,범물동,27260113
530876,시지동,27260114
530877,매호동,27260115
530878,성동,27260116
530879,사월동,27260117
530880,신매동,27260118
530881,욱수동,27260119
530882,노변동,27260120
530883,삼덕동,27260122
530884,연호동,27260123
530885,이천동,27260124
530886,고모동,27260125
530887,가천동,27260126
530888,대흥동,27260127
530890,성당동,27290101
530891,두류동,27290102
530892,파호동,27290104
530893,호림동,27290105
530894,갈산동,27290106
530895,신당동,27290107
530896,이곡동,27290108
530897,장동,27290109
530898,장기동,27290110
530899,용산동,27290111
530900,죽전동,27290112
530901,감삼동,27290113
530902,본리동,27290114
530903,상인동,27290115
530904,도원동,27290116
530905,진천동,27290117
530906,유천동,27290118
530907,대천동,27290119
530908,월성동,27290120
530909,월암동,27290121
530910,송현동,27290122
530911,대곡동,27290123
530912,본동,27290124
530913,호산동,27290125
530915,화원읍,27710250
530916,논공읍,27710253
530917,다사읍,27710256
530918,가창면,27710310
530919,하빈면,27710330
530920,옥포면,27710340
530921,옥포읍,27710262
530922,현풍면,27710360
530923,현풍읍,27710265
530924,유가면,27710370
530925,유가읍,27710259
530926,구지면,27710380
530928,군위읍,27720250
530929,소보면,27720310
530930,효령면,27720320
530931,부계면,27720330
530932,우보면,27720340
530933,의흥면,27720350
530934,산성면,27720360
530935,삼국유사면,27720370
530938,중앙동1가,28110101
530939,중앙동2가,28110102
530940,중앙동3가,28110103
530941,중앙동4가,28110104
530942,해안동1가,28110105
530943,해안동2가,28110106
530944,해안동3가,28110107
530945,해안동4가,28110108
530946,관동1가,28110109
530947,관동2가,28110110
530948,관동3가,28110111
530949,항동1가,28110112
530950,항동2가,28110113
